question,context,answer,keywords,category,intent,procedure
What are the most critical parameters that affect crops productivity?,crop damage prevention strategies,"Sowing Date
Improved Seeds
Diseases & insects
land preparation
Climate (suitability for region)",parameters that affect crops,crop cultivation,clear a doubt,False
What are the most critical parameters that affect crops productivity?,crop damage prevention strategies,"Sowing Date
Improved Seeds
Diseases & insects
land preparation
Climate (suitability for region)",parameters that affect crops,crop cultivation,clear a doubt,False
 Can I make a lot of money with sheep or goats?,sheep and goats,"Sheep and goats are not get-rich-quick enterprises.
Having said that, historically there has been and there is continued potential for profit in sheep 
enterprises. Goats offer their own advantages in vegetation management and are growing in 
popularity (which usually improves prices). Let’s note some advantages of these enterprises.
Small size and low price for breeding stock = easy investment for a few starter animals
Animals quickly reach maturity and reproduce, and quickly reach slaughter size on 
forage alone = quick expansion of herd, quick payback of investment, low cost to 
produce a saleable animal for market or breeding
Multiple streams of income and easy combination with other enterprises, especially 
cattle = balanced risk and improved cash flow and profitability
Low investment in facilities and equipment = less debt and easier exit should you need 
to leave the enterprise
Enjoyable animals = personal satisfaction and family involvement
There are also significant disadvantages to sheep and goat enterprises. Here are a few.
Fencing must be better than a cattle fence; this takes money and work.
Predators are a consideration, and you must make provision to protect the stock; a good 
electric fence helps, but livestock guardian dogs (LGDs) are often needed as well. This 
means another animal to feed, provide health care, and manage; while most LGDs are 
good, some are not, and this can be a hassle.
Health care for sheep and goats can be demanding, especially internal parasite 
management. (Proper stocking rate and nutrition will help this, as well purchasing 
healthy stock to begin with.)
Because goats and sheep are small, income from selling market animals is low. This 
spreads risk and makes them easy to market, but it also means you need to sell a lot of 
animals to make significant income. You might be clearing $50 to $60 a head after 
paying expenses; if that is your sole income stream from the enterprise, you can see 
that it will be supplemental income for the farm, not enough to support a family unless 
numbers are large.
In some situations, supplemental feed will be needed. You must strike a balance here, 
providing good nutrition but keeping costs as low as possible.","money, sheep, goats",livestock keeping,get insights,False
How can I sell my sheep or goats?,sheep and goats,"So many possibilities! Are they purebred, registered breeding stock, or milkers? Advertise in 
the publications read by your target customers. Use listservs dedicated to your breed or 
animal, breed associations, and of course local and regional newspapers, craigslist, and your 
farm website.","sell, sheep, goats",livestock keeping,get insights,False
How to measure the effects of excessive rainfall on crop yields?,crop damage prevention strategies,,effects of excessive rainfall,crop cultivation,clear a doubt,False
What should I do when I bring a new animal home?,sheep and goats,"Any time you purchase animals, a quarantine period of at least two weeks is recommended. 
This gives some time for illness to show up, and you can treat the new animals without 
exposing your established herd. This also allows time for you to treat the new ones for internal 
parasite infection, and check to be sure your dewormer was effective. If the new animals are 
carrying internal parasites that are resistant to your dewormer, you will need to use a different 
dewormer or a combination of two dewormers; if that does not work, take that animal back to the sale barn before it has a chance to populate your farm with parasites that are not going to 
be killed by dewormers.","animal, new",livestock keeping,get insights,False
              Could conventional farming completely replace by organic farming?,maize,,effects of excessive rainfall,crop cultivation,clear a doubt,False
Importance of Allied Fiber Crops in Agricultural Sustainability,sisal,"Allied fiber crops viz., sunnhemp, ramie, mesta, sisal, flax etc. are sources of various raw materials for making so many products. Although, interest of farmers and cultivation area for these crops is decreasing. So, let's discuss about present status, future thrust, current issues and probable solutions to increase production of various allied fiber crops. Expert researchers and interested peoples are requested to reply your valuable comments. Thank you!",allied fiber crops,crop cultivation,clear a doubt,False
Is ecological sustainable agriculture a solution for arable farmlands declining in the 21st century?,maize,"In connection with the warming up of the Earth's climate by the end of the 21st century, a significant part of the arable land will be either flooded by the seas and oceans or will be excluded from the production of crops due to intensifying drought. As part of the civilizational progress, including increasing the productivity of crop production per hectare, it will be necessary to continue research in this field. As part of the pro-ecological development of agriculture based on the assumptions of sustainable pro-ecological development, ie the concept of green economy, chemistry should be gradually reduced to reduce environmental pollution and reduce the impact of chemicals on human health and other life forms. In this way, the adverse impact of civilizational imbalances in natural ecosystems will be limited. In connection with the above, the aim of continuing increasing the production efficiency of agricultural crops per hectare in the future will be intensified by mechanization automation, robotization, improvement of weather forecasting and logistics systems for field works, and improvement of current crop varieties by increasing their resistance to viral and bacterial diseases, fungal, parasitic etc. An important field of research and scientific discipline, thanks to which it is possible to gradually improve current crop varieties by increasing their resistance to diseases is genetics. In addition, it is necessary to improve irrigation and greenhouse systems due to the progressive global warming and more and more often natural cataclysms. It is also important to improve the techniques of recycling and re-use of waste from intensified agricultural production, so that those wastes that are unsuitable for re-use were as few as possible. It is also important to limit the wastage of produced crops, reduce and develop the recycling of organic waste from the food production process in the agri-food processing sector. As part of the development of sustainable agriculture, it is also important to develop organic farming referring to natural ecosystems. This type of agriculture refers to natural ecosystems in which primary varieties of arable crops function or function. As part of this concept of ecological agriculture, different agricultural crops grow on one agricultural area, which also limits the potential scale of pest feeding and feeding, and ensures a better economy of savings in the use of plant protection products. Therefore, the use of genetics should be limited only to the successive improvement of current varieties of agricultural produce by increasing their resistance to viral, bacterial, fungal, parasitic diseases, and not to create completely new species of flora and fauna. In this way, through the process of improving, increasing resistance to diseases of agricultural crops, genetics would help to restore or at least significantly increase the natural balance in intensified agriculture. For this process to work it is necessary to develop also the above-mentioned other techniques of environmentally-friendly sustainable development of agriculture. All of the above-mentioned techniques must be applied in a purposefully, precisely planned integrated system of managing sustainable and environmentally friendly agriculture. In this way, the developed agriculture will be adequate to increase the risk of unfavorable effects of the progressive global warming of the Earth's climate and will be one of the most important determinants of the globally developed sustainable economic development of the entire human civilization, ie deliberately oriented development according to the concept of green economy.",sustainable agriculture,consumer questions,clear a doubt,False
Do farmers waste water?,sustainability trends in agriculture,"Water is necessary to grow plants that provide food, fiber and shelter for the world. Agriculture production in
the U.S. accounts for approximately 80% of the nation’s “consumptive water use.”i “Consumptive water use” is
the term that describes water used and not returned to the original source. However, when we use water in
our home, or when an industry like agriculture uses water, about 90 percent of the water used is eventually
returned to the environment where it replenishes water sources and can be used for other purposes. But of the
water used for irrigation, only about one‐half is reusable. The rest is lost by evaporation into the air,
evapotranspiration from plants, or is lost in transit.ii While agriculture requires significant water to grow crops
and raise animals, unused water returns to the ecosystem. Farmers are focused on conserving water for several
reasons: 1) Farmers know water wasted could mean a lack of the resource for future crops. 2) Water is
expensive. Water wasted is money lost. 3) Farmers are cultivators. They use precise technology to know exactly
how much water a plant needs to grow. Too much could mean poor production. 4) Many farmers rely on
Mother Nature for water.","water, waste",general questions,get insights,False
Do farmers use more pesticides and fertilizers when they use GM (genetically modified) seeds?,sustainability trends in agriculture,"Using GM seeds that are selected for the right environment can actually decrease the amount of pesticides a
farmer must use. Let’s take a look at what’s going on in the industry today. One of the most common GM
varieties is called Bt seed — it allows a crop to release a protein from the bacterium Bacillus thuringiensis (Bt)
that acts as a natural pesticide to certain insects. Use of pesticides with Bt crops has drastically decreased.
Another common GM variety enables a plant to resist the herbicide glyphosate. For example, Roundup® is a
common glyphosate product. Roundup® Ready Corn, a GM product, can still grow when Roundup® is applied.
For these crops, herbicide use has increased because farmers can apply the herbicide on all of their land.
glyphosate, however, is one of the mildest herbicides. It has toxicity 25 times less than caffeine. The ability to
use glyphosate more frequently has enabled farmers to decrease use of more toxic herbicides. In the last 20
years, the use of GM seeds has reduced pesticide spraying by 8.1%. Because of this, the environmental impact
associated with pesticide use on biotech crops has decreased by more than 18%.iv Learn more with the Food
Evolution documentary!","pesticides, fertilizers, GM",general questions,get insights,False
"In connection with the warming up of the Earth's climate by the end of the 21st century, a significant part of the arable land will be either flooded by the seas and oceans or will be excluded from the production of crops due to intensifying drought. As part of the civilizational progress, including increasing the productivity of crop production per hectare, it will be necessary to continue research in this field. As part of the pro-ecological development of agriculture based on the assumptions of sustainable pro-ecological development, ie the concept of green economy, chemistry should be gradually reduced to reduce environmental pollution and reduce the impact of chemicals on human health and other life forms. In this way, the adverse impact of civilizational imbalances in natural ecosystems will be limited. In connection with the above, the aim of continuing increasing the production efficiency of agricultural crops per hectare in the future will be intensified by mechanization automation, robotization, improvement of weather forecasting and logistics systems for field works, and improvement of current crop varieties by increasing their resistance to viral and bacterial diseases, fungal, parasitic etc. An important field of research and scientific discipline, thanks to which it is possible to gradually improve current crop varieties by increasing their resistance to diseases is genetics. In addition, it is necessary to improve irrigation and greenhouse systems due to the progressive global warming and more and more often natural cataclysms. It is also important to improve the techniques of recycling and re-use of waste from intensified agricultural production, so that those wastes that are unsuitable for re-use were as few as possible. It is also important to limit the wastage of produced crops, reduce and develop the recycling of organic waste from the food production process in the agri-food processing sector. As part of the development of sustainable agriculture, it is also important to develop organic farming referring to natural ecosystems. This type of agriculture refers to natural ecosystems in which primary varieties of arable crops function or function. As part of this concept of ecological agriculture, different agricultural crops grow on one agricultural area, which also limits the potential scale of pest feeding and feeding, and ensures a better economy of savings in the use of plant protection products. Therefore, the use of genetics should be limited only to the successive improvement of current varieties of agricultural produce by increasing their resistance to viral, bacterial, fungal, parasitic diseases, and not to create completely new species of flora and fauna. In this way, through the process of improving, increasing resistance to diseases of agricultural crops, genetics would help to restore or at least significantly increase the natural balance in intensified agriculture. For this process to work it is necessary to develop also the above-mentioned other techniques of environmentally-friendly sustainable development of agriculture. All of the above-mentioned techniques must be applied in a purposefully, precisely planned integrated system of managing sustainable and environmentally friendly agriculture. In this way, the developed agriculture will be adequate to increase the risk of unfavorable effects of the progressive global warming of the Earth's climate and will be one of the most important determinants of the globally developed sustainable economic development of the entire human civilization, ie deliberately oriented development according to the concept of green economy.",maize,"In the quest of achieving self-sufficiency in food grain production, most of the governments in developing countries, particularly in South Asia, are making available nitrogen fertilizers like urea at a highly subsidized price. As a result farmers, in general, have developed a tendency to apply fertilizer nitrogen crops in excess of general recommendations. It is leading to lowering of fertilizer nitrogen use efficiency in cereal crop production. Although in the last two decades several options have been provided to farmers for applying fertilizer nitrogen as per need of the crop, very little success has been achieved in increasing the nitrogen use efficiency. How do you consider the role of heavy subsidy on nitrogen fertilizers in dealing with the issue of fertilizer nitrogen use efficiency?",subsidy on nitrogen fertilizers,crop cultivation,clear a doubt,False
Do cows cause global warming?,sustainability trends in agriculture,"Environmental Protection Agency (EPA) reports indicate that cattle production is not a top contributor to
greenhouse gasses. The agriculture industry accounts for 9% of total U.S. greenhouse gas emissions.vi For
comparison, transportation accounts for 28%, and electricity generation accounts for 28% of total U.S.
greenhouse gas emissions. Advances in the industry helped American farmers and ranchers reduce their carbon
footprint. Methane emissions from U.S. beef cattle have declined 34% since 1975.","cows, global warming",general questions,get insights,False
Can the world support more vegetarians than meat eaters?,sustainability trends in agriculture,"Unfortunately, the answer is not as simple as a mere calculation. The United States uses more than one‐third
of its land for pasture. For more than 100 million people in arid regions, grazing livestock is their only source of livelihood. Half of the land area in the U.S. cannot be used for growing crops and is used as grazing land
instead. If cattle, sheep and goats were not grazed on this land, it would be of no use for food production.","vegetarians, meat eaters",general questions,get insights,False
Which mulching will be more beneficial either plastic mulching or organic mulching?,maize,Organic mulching has more benefits and advantages through its proper functioning in implementing a good cycle of returning more nutrients into the soil and a good turnover of soil microbial populations. During the years that I was studying in Germany I have seen that in everywhere they were using organic mulching in their gardens and agricultural fields.,plastic or organic  manure,crop cultivation,clear a doubt,False
\Will the of use of vermicompost as nutrient source in agronomic crops possible ?,maize,We know that vermicompost is far better than compost manure and chemical is too exe and deficit too so for marginalized farmer it will be better to promote vermicompost but its production in commercialized scale is limited and not easily available so how will it be effective and what will the way to continue its journey in agronomic crops as a alternative option.,use of vermicompost,crop cultivation,clear a doubt,False
Why are farmers markets popular?,local farmers markets,"Growers, consumers and communities are all recognizing the benefits of farmers markets.

For growers, farmers markets provide an opportunity to sell products at retail prices. This allows growers to gain greater control over production and marketing decisions and also provides growers with opportunities to sell specialty or niche products, products that are limited in quantity, or products of varying quality, such as slightly blemished canning tomatoes. Because the vendor fees charged by markets are much lower than the cost of establishing an off-farm retail outlet, farmers markets enable growers to test new enterprises or give direct marketing a try without making a huge financial investment.

For consumers and communities, farmers markets offer a host of social, economic and health benefits. Farmers markets provide a great place to meet and socialize with neighbors and offer an alternative shopping experience. They draw people out of their homes, help improve neighborhoods, and provide an economic stimulus to neighborhoods and downtown districts. Perhaps most important, farmers markets increase access to fresh food, giving consumers the opportunity to develop relationships with local growers, raising awareness about the food system, and promoting healthy eating habits."," farmers ,markets ",market related,know why,False
What are qualities of successful farmers markets?,local farmers markets,"Based on research conducted by Project for Public Spaces(opens in new window), a nonprofit organization dedicated to helping people create and sustain public places and build community, successful public markets share the following 10 qualities:

Vendors who are focused on quality, service and innovation
A visible and accessible location with adequate parking
A diverse mix of vendors, products and events
A clear understanding of the purpose or mission of the market
A well-designed, comfortable and welcoming public space
Collaborations and partnerships with the local community, businesses and organizations
Sound, transparent financial accounting and a sustainable financial plan
Creative, appropriate and targeted promotions
A variety of ways to add value to local economies and communities
Effective, open-minded and fair management"," farmers ,markets ",market related,know what,False
Is there any scientifically proofed relationship of pulses crops productivity with the canopy temperature?,maize,"Stress Degree Day (SDD) is a depression shows canopy temp. and atmosphere temp.. If it is negative then crop does not require irrigation, if positive then need to apply irrigation. As the canopy temp. increases ET+metabolic activity increases results in higher respiration would cause losses in yield. Pulses mostly C3 plants and possess photorespiration.",canopy temperature,crop cultivation,clear a doubt,False
We would like to start a farmers market. How do we begin?,local farmers markets,"Most farmers markets start as an idea. A group of local growers, a neighborhood association, the local chamber of commerce or, in some cases, a single individual, realizes the benefits of starting a farmers market in their community. From this initial idea, connections are made, meetings are held, and the farmers market begins to materialize.

cucumbers corn and peppersFigure 1. Farmers markets provide a place that producers may try selling farm products directly to consumers.

During the early stages of the market’s creation, when initial conversations and meetings are taking place, try to answer the following questions to help the market get off to a good start. As you begin this process, remember that it does not have to be an intimidating endeavor. This guide answers many commonly asked questions to help alleviate the burden of searching for resources on your own."," farmers ,markets ",market related,know how,False
Is starting a new farmers market feasible?,local farmers markets,"Determining the feasibility of a new farmers market is crucial. Try to thoroughly evaluate the interest among local growers, consumers, businesses, government agencies and organizations before proceeding to the next step. Evaluate local retail competition and community demographics. To gain input from a wider audience and uncover unforeseen objections or support, place ads in local newspapers or hold public meetings. If time and funding permit, a formal feasibility study can be conducted. Starting a new market is generally justified if you have firm commitments from six growers and you expect to attract at least 100 customers on each market day."," farmers ,markets ",market related,get insights,False
Who will sponsor the market?,local farmers markets,"In some cases, growers take a lead role in creating and running a market. In other cases, local governments, nonprofit organizations, chambers of commerce or a new entity formed just for this purpose organizes the new market. Regardless of who starts and operates the market, be sure to involve a wide range of individuals, organizations and businesses to make use of existing talents and resources in the community, resolve disputes and share the workload.","market, sponsor",market related,get insights,False
What is the purpose of the market?,local farmers markets,"Clearly defining the market’s purpose or mission is perhaps the most important task for market organizers. Typically, farmers markets are created with the primary purpose of serving local growers and consumers. It is also widely recognized that farmers markets help improve and revitalize downtowns and neighborhoods, provide a safe place for people to gather and socialize, and improve access to fresh food, among other benefits. However, a farmers market will not succeed unless growers are able to make a profit, despite the good intentions of market organizers in promoting other goals.",market,market related,know what,False
What are some next steps?,local farmers markets,"There are several ways to organize a new farmers market once you have determined initial interest and support among growers, consumers and the community. The steps to take will vary from market to market. First of all, if you haven’t already done so, form a market organizing committee to provide some structure for your process. Also, consider developing business and marketing plans for your market. Other general considerations include developing the rules and regulations for the market, creating subcommittees within the market organizing committee to handle various tasks, selecting an appropriate location for the market, promoting the market, and helping vendors comply with local, state and federal regulations.",market,market related,get insights,False
Biofilm Biofertilizers- New Generation biofertilizers?,"manure, fertilizers and soil nutrients","Global climatic change has an adverse effect on soil fertility, especially on dry land. This because of the increase soil temperature will fasten soil organic matter decomposition process and it will decrease soil organic matter content. The dose of organic fertilizer applied did not support spinach growth and yield optimally, allegedly due to very low initial soil organic matter levels, thusfurther study with higher doses necessary. Biofilm biofertilizer is a biological fertilizer technology that forms a thin layer of microbes when applied. Biofilms biofertilizer and or biopesticides have been developed to improve fertilizer efficiency, increase crop yields, conservation of natural resources and food safety. the biofilm is a complex community of various species of microbes attached to or located close to the plant roots. Biofertilizer biofilms are more resistant to environmental stress, predators and antagonists and have the ability to increase crop yields were higher than conventional biofertilizer. the advantages of biofertilizer which microbial form biofilms than not form biofilms, both in improving nutrients availability, produce plant growth promoting substances (e.g. IAA) and inhibiting plant diseases.Many factors affect food security, including the scarcity of fertile agricultural and, caused of it decrease due to land conversion to non-agricultural sectors. Therefore the use of marginal land to replace the fertile one should be improved. Marginal land is land that has low quality due to several limiting factors when used for specific purposes, but the potential for agricultural land when is managed appropriately.
the formation of biofilm involving various processes including surface conditioning, microbial cell adsorption to conditioned surface, growth of bacteria, and formation of EPS that resulted in growth of biofilm. There are various factors responsible for the formation and growth of biofilm. It includes topography of surface, physicochemical properties of medium, hydrodynamics, horizontal gene transfer, and quorum sensing. the different stages of biofilm development:
1. Initiation of biofilm formation,
2. Maturation of the biofilm, and
3. Regulation of the biofilm architectural structure.
",canopy temperature,crop cultivation,clear a doubt,False
How do we draft the rules and regulations for our farmers market?,local farmers markets,"The importance of good rules and regulations cannot be overstated. Farmers market rules and regulations typically outline how the market will operate on a daily basis, define the rights and obligations of both the market and the vendor, and provide answers to the following questions:

Who can sell at the market?
What products can be sold?
What are the location and hours of operation of the market?
Where will vendors set up at the market?
What is the cost of selling at the market?
What will the market experience be like for customers?
Who will be in charge of the market?
How will rule infractions and grievances be handled and resolved?
Good rules and regulations will be helpful for keeping vendors happy and minimizing conflicts. For a detailed explanation of farmers market rules and regulations — including a look at statements of market purpose and philosophy, provisions commonly found in farmers market rules, issues that may create challenges when managing a market, questions growers should consider when deciding whether to join a market, and many examples of market rules from around the country.","farmers market, rules, regulations",market related,get insights,False
How can i know the impact of climate change on each catchment area of the hydrological basins in Iraq?,climate trends in my area,"You may use hydrological models based on your available datasets in the basin of interest. The available data can be temperature, precipitation, snow cover and riverflows data. These models can be Snowmelt Runoff Model (SRM) or Surface Water Analyst Tool (SWAT). Please feel free to ask if you need to something else regarding this information.",impact of climate change,crop cultivation,clear a doubt,False
Should our market be producer-only or allow products grown by others?,local farmers markets,"One of the most fundamental issues addressed in any set of rules is whether to allow the sale of products that are produced by someone other than the vendor. Some groups elect to create a producer-only market and allow vendors to sell only products grown on their farms. Others elect to allow for varying quantities of products to be resold at the market. Each option has advantages and disadvantages. For example, producer-only markets capitalize on the increasing interest in local food and are able to cater to customers who place a high value on supporting and getting to know the local growers in their community. Conversely, markets that allow growers and vendors to resell varying amounts of products grown by other growers will often have a wider variety of in-season and out-of-season products and may appeal to customers looking for convenience. In either case, enforcing the rules may require farm visits by the market manager or board of directors to ensure compliance.

Baked goods, Eric Reuter photFigure 3. Market rules guide what kinds of products can be sold at a farmers market and whether vendors must produce the items sold.

Yet another issue addressed in the market’s rules is whether to allow the sale of nonfood items, such as crafts. If your market intends to allow the sale of crafts, consider creating rules to specify which items may be sold and what percentage of the total number of vendors may sell crafts. Farmers markets sometimes allow vendors to sell crafts to develop a more diverse vendor base and cater to certain customers. Some markets require that craft items be made from materials raised or collected on the vendor’s own farm.

Regardless of which options you choose, it is important to create a market that is not only consistent with the stated purpose of the market but that also meets your customers’ demands. It is also important to weigh your options carefully, survey potential customers about their preferences, and consult with market organizers, managers and growers who have experience with many types of markets.","market, products",market related,get insights,False
Do we need a market manager?,local farmers markets,"Most farmers markets designate or employ a market manager to operate the market. The market manager’s duties are typically described in the market’s rules and regulations and include selecting vendors, allocating booth space, collecting fees, enforcing rules, resolving conflicts, and keeping records, among other things.","market, manager",market related,get insights,False
What laws or legal considerations should we be aware of?,local farmers markets,"The laws and legal considerations that growers and farmers markets are required to comply with may seem overwhelming at first glance. However, it is much wiser to educate yourself now and learn how to comply with these laws rather than to ignore them and get in trouble at a later date. Make it your goal to learn as much as you can about these laws and get to know the public officials responsible for helping you comply with these laws.","laws, legal",market related,get insights,False
"Hicham Chouikh asked a question related to Crop Production What are the main elements that can help a recommendation system to suggest suitable crops for the soil (e.g weather, NPK, price ....)?",soil conditions,"To put you in the context, our work consists in realizing a machine learning model which takes a vector with the properties of a farm, includes the weather why not.Then from a database of crops, make a recommendation of the most suitable crop for the soil. Therefore a recognition on the elements which help in this decision is an important part before starting the collection of the data necessary for the model.",suggest suitable crop for soil,crop cultivation,know what,False
"What are the main elements that can help a recommendation system to suggest suitable crops for the soil (e.g weather, NPK, price ....)?",soil conditions,"To put you in the context, our work consists in realizing a machine learning model which takes a vector with the properties of a farm, includes the weather why not.Then from a database of crops, make a recommendation of the most suitable crop for the soil. Therefore a recognition on the elements which help in this decision is an important part before starting the collection of the data necessary for the model.",suggest suitable crop for soil,crop cultivation,know what,False
What attracts customers and keeps them coming back?,local farmers markets,"Marketing and promoting a farmers market creates unique challenges for market organizers, in part, because customers are looking for a variety of tangible items and intangible qualities at the market. For example, according to The New Farmers’ Market, by Vance Corum, Marcie Rosenzwieg and Eric Gibson, farmers market customers are looking for fresh, high-quality, locally grown products; reasonable prices; an enjoyable and social shopping experience; and ""vibrant farmer personalities.""

As a market organizer, you are in a unique position because, on the one hand, you have to rely on individual vendors to do a portion of the marketing. Marketing considerations such as product quality, variety and display; customer service and vendor personality; and pricing are generally left to vendors, although stipulations can be made in the market’s rules and regulations to govern certain aspects of these considerations. On the other hand, you are responsible for promoting the market as a complete package and creating a positive, vibrant market atmosphere using special events, the media and community partnerships. Ultimately, balancing both individual and collective marketing efforts requires flexibility, patience and creativity. It may also require working with individual vendors to help them improve their own marketing skills.",customers,market related,get insights,False
What resources are available to help growers with marketing and selling?,local farmers markets,"Many growers are intimidated by the prospect of marketing and selling their products. Despite these fears, growers should try to develop at least a general understanding of marketing and selling – or be willing to recruit family members or employees who can market and sell with confidence. In addition, because farmers market customers expect growers to be a source of knowledge about products, production methods, and food storage and preparation, growers should be willing and able to talk with customers about these and other topics.

Numerous resources are available for growers wishing to develop their marketing, selling and personal communication skills. For information about direct marketing, enterprise evaluation and conducting market research, see Direct Marketing(opens in new window) by Katherine Adam, Radhika Balasubrahmanyam and Holly Born.","marketing, selling",market related,get insights,False
Does rolling winter wheat in the spring increase tillering?,soil conditions,Never done it before but will be doing all winter wheat this time as they were not rolled in the autumn. What's the best time in terms of plant growth or is it soil conditions? Which are very wet underneath but drying on top now.,rolling winter wheat,crop cultivation,clear a doubt,False
What are the challenges of maintaining a viable farmers market?,local farmers markets,"Small size
Lack of farm products
Little administrative revenue
Low-paid or volunteer market manager
High manager turnover
In addition, the report identifies areas of risk and makes recommendations for farmers market organizers.","challenges, farmers market",market related,get insights,False
How can we evaluate the market’s performance?,local farmers markets,"Collecting sound information, in a systematic way, can help you identify the strengths and weaknesses of your market. It can also help you make improvements in both the daily operations and long-term planning of the market.",market’s performance,market related,know how,False
How we can use similarity techniques in Fertilizer recommender systems?,"manure, fertilizers and soil nutrients",Never done it before but will be doing all winter wheat this time as they were not rolled in the autumn. What's the best time in terms of plant growth or is it soil conditions? Which are very wet underneath but drying on top now.,similarity techniques in fertilizer ,crop cultivation,know how,False
"Is there any database about people's tendency to eat different foods in regional, Country and catchment scale?",african clawed frog,"the main factors affecting the type of crops to be produced are suitability of particular crop to climate and soils, scope for higher potential yield and assured market price and supportive government policies. In case of consumers , the factors that affect the choice of food or diet are their health conciesness to have balanced nutrient diet, affordable prices in the market, traditional ancestral food habits and expansion of choice in terms of availability of diversified branded foods, eco-friendly organically produced good and food labeling et",people's tendency to eat foods ,consumer questions,clear a doubt,False
Who needs to complete a Census of Agriculture questionnaire?,agricultural census,Any person responsible for operating a farm or an agricultural operation should complete a Census of Agriculture questionnaire.,"Census, Agriculture",general questions,curious to know more,False
What is the definition of an agricultural operator?,agricultural census,"The Census of Agriculture uses the word operator to define a person responsible for the management and/or financial decisions made in the production of agricultural commodities. An agricultural operation can have more than one operator, such as a husband and wife, a father and son, two sisters, or two neighbours.

The terms ""agricultural operator"" and ""operation"" are used in the census because they are broader in scope than ""farmer"" and ""farm"", and better reflect the range of agricultural businesses from which the Census of Agriculture collects data. For example, the term ""farm"" would not usually be associated with operations such as maple sugar bushes, mushroom houses, ranches or feedlots.",agricultural operator,general questions,curious to know more,False
How is an agricultural operation defined?,agricultural census,"An agricultural operation is defined as a farm or agricultural holding that produces agricultural products and reports revenues or expenses for tax purposes to the Canada Revenue Agency.

Agricultural products include:
Crops:

hay and field crops (hay, grains, field peas, beans, potatoes, coriander and other spices, etc.)
vegetables (all vegetables, herbs, rhubarb, melons, garlic, gourds, etc.)
sod, nursery products and Christmas trees
fruits, berries or nuts (apples, other fruit trees, grapes, blueberries and other berries, saskatoons, hazelnuts, etc.)
seed
Poultry:

laying hens and pullets
layer and broiler breeders
broilers, roasters and Cornish
turkeys
other poultry (geese, ducks, roosters, ostriches, emus, pheasants, quail, pigeons, etc.)
commercial poultry hatcheries
Livestock:

cattle and calves
pigs
sheep and lambs
other livestock (horses, goats, llamas, alpacas, rabbits, bison, elk, deer, wild boars, mink, fox, donkeys, mules, chinchillas, etc.)
Animal products:

milk or cream
eggs
wool
fur
meat
Other agricultural products:

greenhouse products
mushrooms
maple products
bees owned (for honey or pollination)
Other products or activities considered agricultural operations according to the Census of Agriculture are:

harvesting wild rice
sprouting alfalfa or beans
growing legal cannabis
growing mushrooms on logs in a controlled environment
wineries, if they grow any grapes or fruit
garden centres if they grow any of their products
hay processing or dehydration plants if they grow hay on land they own or lease
The following are NOT considered agricultural operations according to the Census of Agriculture:
Operations that harvest or grow only:

peat moss
top soil
gravel
fish (wild or aquaculture)
silviculture products
wild cones, wild Christmas trees, logs, firewood, pulpwood, evergreen boughs, etc.
wild berries, wild plants, wild mushrooms, etc.
all wild animals
racing pigeons
worms
crickets, rats, mice, etc., for pet stores
laboratory animal production
all pets (dogs, cats, pot-bellied pigs, guinea pigs, finches, budgies, etc.), including kennels for pets",agricultural operation,general questions,curious to know more,False
What is the best way to summarise secondary data eg a bunch of weather and crop production data over 35 rows and 21 columns?,local weather forecast,,weather and crop production,crop cultivation,clear a doubt,False
Are hobby farms included in the Census of Agriculture?,agricultural census,"Yes. Farms with very low farm revenues—commonly called ""hobby farms""—are included, as long as the operation produces agricultural products and reports revenues or expenses for tax purposes to the Canada Revenue Agency.","hobby farms, Census , Agriculture",general questions,curious to know more,False
Why do operators of small operations have to complete the Census of Agriculture questionnaire?,agricultural census,"The Census of Agriculture enumerates small operations because it is important that the total farm area and the total inventory of all crops, livestock and other agricultural products in Canada be counted. As a group, all the small agricultural operations contribute significantly to agricultural inventories.","Census , Agriculture",general questions,curious to know more,False
"Scattering aerosols beneficial for Net Primary productivity(NPP) on clear sky days. But, do they simultaneously have negative impacts on yield?",sustainability trends in agriculture,"The crop productivity is influenced by several factors like temperature, solar radiation, water and carbon dioxide concentration and it is accepted fact that scattered aerosols play key role in change of temperature and thereby affecting the crop yield. The type of aerosols decides the trend of temperature change and crop productivity. For example, the bright colored aerosols cause reflection of sun light in all directions and back towards space and result in cooling. However, the dark colored aerosols absorb the radiation and warms the atmosphere. One main negative effect of aerosols is in the form of hastening the process of melting of ice.",aerosals  impacts on yield,crop cultivation,clear a doubt,False
